web-scraper-order,web-scraper-start-url,linktopage-href,title,age,readytoleave,dec,num_pics,price,location
1588698260-46,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/all-kittens-already-reserved-beautiful-persian-dolly-face-fluffy-kittens/1361662908,ALL KITTENS ALREADY RESERVED Beautiful Persian Dolly Face Fluffy Kittens,8 weeks,Now,"Lovely Persian Dolly face fluffy Kittens are ready now to be reserved. The kittens are Caring , Playful , Beautiful with great temperaments. They are good with other animals and children. They are Looking for loving homes. by the time the kittens are going to go to their new homes they will be litter trained, flea and worm treated. Now the kittens are six weeks old, after two weeks they will be ready to go to new caring homes. The kittens mum is a gold persian chinchilla and she has pedigree papers. The dad is a blue persian. You would be able to see both parents when you come to see the kittens. The deposit is £150 The deposit isn't refundable. if you have more questions please text me. 07525718036",1 of 7,£650.00 ,"Leytonstone, London"
1588698382-103,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/angora-persian-x-kittens-/1372198389,Angora/Persian X kittens,8 weeks,Now,"I have 5 fluffy boys for sale. Mum is Angora and dad is a Persian, both are indoor cats and can been seen. The kittens are litter trained, dewormed with Panacur and deflead with Advantage drops, eat dry and wet food, are very fluffy and friendly.

You are welcome to see them and choose your one:)

On the last 2 pictures are black boys from previous litter.

The price is £450 each.

Text messages or email only PLEASE.",1 of 10,£450.00 ,"Bromley, London"
1588698331-79,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/beautiful-8-week-old-kittens-fled-and-ready-to-go.-to-loving-homes-/1372050085,beautiful 8 week old kittens fled and ready to go. to loving homes,8 weeks,in 1 week,Have one little kitten left out of the litter listed earlier as the woman hasn’t got back in touch so reposted little legs again... think kitty is a little girl as can’t see none of the obvious bits... lol but not 100% as it isn’t my criteria.. but 80% it’s a girl...,1 of 5,£250.00 ,"Peckham, London"
1588698273-52,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/beautiful-female-kitten-sold-/1371555796,Beautiful female kitten (SOLD),9 weeks,Now,"Playful grey tabby girl kitten available to a loving home Beautiful female kitten. Posted by Amy in Pets for Sale, Cats in Romford. 25 April 2020",1 of 5,£140.00 ,"Romford, London"
1588698213-24,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/full-beautiful-bengal-girl-kitten-ready-in-2-weeks-/1372083049,Full beautiful Bengal girl kitten ready in 2 weeks,6 weeks,in 2 weeks,"Beautiful bengal girl 
Last kitten unreserved from litter 
Ready for her new home in 2 weeks 
Wormed and litter trained 
Call for more information",1 of 5,£650.00 ,"Brighton, East Sussex"
1588698250-41,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/british-short-hair-kittens-/1370829114,British short hair kittens,7 weeks,in 1 week,"British short hair x kittens for sale 
Beautiful babies ready in 4 weeks .

Will be wormed , flead and given there first vaccinations 

*******UPDATE KITTENS ARE NOW REVERSED***** 

Taking deposits now . 

Will send weekly updates to new owners",1 of 8,£375.00 ,"Crystal Palace, London"
1588698380-102,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/mixed-kitten-female-9.5-weeks-old/1372196313,Mixed kitten (Female) - 9.5 weeks old,9 weeks,in 1 week,"A beautiful Long haired kitten who neeeds a caring owner and could take responsibility for her!

I am not negotiating any price, it’s final!

Thx",1 of 6,£200.00 ,"Heathrow, London"
1588698166-3,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=5,https://www.gumtree.com/p/cats/-sold-blue-bsh-x-black-persian-kittens-boys-and-girls-/1370709314,**SOLD** BLUE BSH X BLACK PERSIAN kittens boys and girls,3 weeks,in 5 weeks,"Kittens born 02.04.2020. Kittens are BLACK and BLACK and WHITE. TAKING £50 deposit to hold kitten. KITTENS WILL COME WITH PACK including:
Collar 
Blanket
Toys 
Food
All kittens will be flead, wormed, inoculated to date, and microchipped
Each kitten will have vets certificate and microchip details. 
Please text/call 07761798399 or leave voicemail on 01273969528. 
Thanks 
Louise",1 of 8,£400.00 ,"Brighton, East Sussex"
1588698372-98,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/2-full-tabby-kittens-for-sale-%C2%A3365-each.-no-offers.-/1372183504,2 full tabby kittens for sale £365 each. No offers.,3 weeks,in 5 weeks,"Both full tabby.  1 Male 1 female. £365 each - No Offers please. £65 deposit required to reserve. Will be dewormed, deflead, weaned and litter trained. Ready to go in 5 weeks. Mother can be met. More pictures videos/ facetime can be seen on WhatsApp. Can drop off depending on your postcode. Call michael on 07442445928.",1 of 6,£365.00 ,"Harrow, London"
1588698188-12,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/kittens/1371379684,Kittens,5 weeks,in 3 weeks,"All sold out. Kittens. Posted by Rosemary in Pets for Sale, Cats in Rochester. 30 April 2020",1 of 9,£500.00 ,"Rochester, Kent"
1588698287-58,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/siberian-neva-masquerade-kittens/1371676857,Siberian Neva Masquerade Kittens,5 weeks,in 8 weeks,"Siberian / Neva Masquarade kittens for sale



Litter A of CITRONEVA - Two boys and one girl available to reserve

born 28.3.2020

2 boys - SIB a 21 33 09 - (blue tabby point with white)

1 girl - SIB a 21 33 (blue tabby point)



Both parents imported from Russia; Excellent type and temperament; Great pedigree

Father: Horton Dikoe Pole

Mother: Businka Zlatogorye



The kittens will be ready to go to their new homes at 13 weeks of age when fully vaccinated, dewormed and registered with TICA with a 5 generations pedigree and a 4 weeks free insurance



Not for breeding, indoor only

price £1200



please message me if I'm not available to answer your call",1 of 10,"£1,200.00 ","Bromley, London"
1588698223-29,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/beautiful-litter-of-british-short-hair-x-kittens.-/1372158308,Beautiful litter of British short hair x kittens.,2 weeks,in 6 weeks,"LITTER OF 5 BSH x KITTENS READY TO RESERVE WILL BE READY TO LEAVE FOR THEIR FOREVER HOMES ON THE 16TH OF JUNE 2020.


MUM IS ADORABLE! , LAID - BACK AND INCREDIBLY LOVING, FANTASTIC WITH OUR CHILDREN. (SHE’S A SILVER TIPPED PEDIGREE BRITISH SHORT HAIR)
WE HAVE 5 BOYS AVAILABLE
2 SILVER MALE TABBY'S-( WISKERS ADVERT KITTENS) £300 EACH

2 CREAM MALES - £250 EACH
ALL SMOKED MALE - £300 
KITTENS ARE REARED WITH LOTS OF LOVE AND CARE MAKING FANTASTIC FAMILY PETS WITH GREAT TEMPERAMENTS AND CHARACTER ,

WE ADORE OUR FUR BABIES AND WOULD LIKE THE VERY BEST FOR THEM, THEY ARE FOR LOVEING FAMILY HOMES ONLY.
WHEN THEY LEAVE US- 
WORMED AND FLEA TREATMENT UP TO DATE 
FULLY WEANED AND LITTER TRAINED 

A NON REFUNDABLE DEPOSIT OF £1OO CAN NOW SECURE YOUR CHOSEN KITTEN
LAST PHOTO IS OF KITTENS OLDER SISTER
THE 2 PHOTOS BEFORE THE LAST IS OF MUM.",1 of 7,£300.00 ,"Bradwell Common, Buckinghamshire"
1588698277-54,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/cute-kittens-for-sale-all-reserved-/1371615545,Cute kittens for sale *ALL RESERVED*,7 weeks,in 1 week,"Thank you all for your emails. Unfortunately I was unable to reply to them all. All kittens are now reserved, I wish you all the best of luck in your furture searches",1 of 4,£200.00 ,"Leytonstone, London"
1588698310-69,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/sweet-kittens-gone-now/1371906380,SWEET KITTENS / GONE NOW,8 weeks,in 3 weeks,"4 weeks old kittens now ready to be reserved. One stripe tabby and one white tabby. I own both parents, mum is a Bengal x and dad a white mixed tabby. Both indoors cats and on date with vaccines. 

The asking price for each kitten is £300 with a deposit of £50 via bank transfer.

They will be given flea and worming treatment, and will be fully litter trained. 

Mum and dad in last picture.",1 of 6,£300.00 ,"South East London, London"
1588698324-76,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/kittens-/1372010699,Kittens,6 weeks,in 2 weeks,"Kittens born on 25/03 and will be ready to leave for the new home end of May

Please text me ....don’t call me",1 of 17,£150.00 ,"South Croydon, London"
1588698279-55,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/long-waited-british-short-hair-blue-kittens-available-/1371634305,Long waited British Short Hair Blue kittens available!!!,2 weeks,in 12 weeks,"__________
!!!Update!!!!
Thank you for your kind interest but this litter has reserved already. But we’re expecting another litter in 3 weeks from our lovely Margot. Please keep in following us!
-1 boy (reserved for Rary)
-1 girl (reserved for Catalin)
-1 boy (reserved for Shannon)


Our stunning BSH was born on 20.04.20!!
They’re only 3; 2 boys and 1 girl!!
So first come first serve based and best families can get the __ kittens!!!
Ready to leave on Mid/June!!
Precautionary flea treated with strong hold
Wormed with panacur 10%
Will be microchipped, insured and pre-paid vaccinations.

FaceTime can be done for viewing at the moment. No invitation to our house due to to the corona virus pandemic, meeting is only outside of the house and strictly follow the social distance rule!! However delivery is available with little extra fee..

Please contact with me for more details.",1 of 9,£950.00 ,"Enfield, London"
1588698300-64,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/kitten-for-sale-sold/1371813384,Kitten for sale SOLD,9 weeks,Now,"Lovely Male kitten ( sunny) Sold
8 and half weeks old
Very energetic 
Little trained
Very cute 

Sorry this has been reserved now.",1 of 7,£150.00 ,"Greenwich, London"
1588698296-62,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/5-cute-kittens-/1371789474,5 cute kittens,3 weeks,in 5 weeks,"I have 5 kittens 3 which are black and 2 which are black and white, I have a lot of work and I can’t look after all of them and need a good home for them, they are currently 3 weeks old and approaching 4, can sell separately and together, All kittens are girls and one black one is a boy, if you have any further questions message me. 
(£175, each£)",1 of 4,£200.00 ,"Enfield, London"
1588698231-32,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/beautiful-rag-doll-x-kittens/1372164195,Beautiful rag doll x kittens,7 days,in 7 weeks,Mums a rag doll dads a black and white domestic cat theses beauty’s where born on the 28 April and will be ready 23 June due to the current situation no home visits will be allowed but regular photo updates of your baby will be provided they will be regularly handled have worming treatments and litter trained before leaving for there forever homes a £50 non refundable deposit will be required to hold your kitten,1 of 9,£200.00 ,"Headcorn, Kent"
1588698248-40,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/adorable-kittens-ready-in-1week-7weeks-old-/1370756533,adorable kittens ready in 1week (7weeks old),7 weeks,in 1 week,"adorable kittens

3male :

black x2- 1RESERVED, 1 AVAILABLE
Black and white - RESERVED

2 female:

brown and black (Available)

white and black (Available)

Available for reservation with deposit 50GBP per kitten Not Refundable In addition to advertised price.



All kittens are currently playful and on solid foods and litter training in progress 


More Pictures available on request



Looking for loving and caring homes for these beautiful kittens so genuine enquiries only. 18+only",1 of 6,£400.00 ,"Wembley, London"
1588698329-78,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/rare-full-white-european-shorthair-kittens.-/1372027351,Rare full white european shorthair kittens.,7 weeks,in 1 week,"Adorable white kittens looking for a loving home.
Please add info about your family/home for cat.
2 kittens reserved.
They are super playful, healthy and enjoy cuddling up. Litter box trained and eats quality cat food. 
Mother is white european shorthair and father is white with little grey Turkish Van. So super rare ____ They are like family for us and want to find best homes. 
Both very friendly and amazing cats. 


Deposit 100£.
Message me for more photos and videos on whatsapp.",1 of 7,£700.00 ,"Enfield, London"
1588698242-37,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/short-hair-kitten-all-reserved-/1370545168,Short Hair Kitten (All reserved),9 weeks,Now,"1.Male blue kitten 
Kitten is fully litter trained, and can eat by it self
6 weeks old born on 22 February 
Ready to leave in 2 weeks 
£600
Reserved for ( Lenir Romao )

2 . 2x male blue kitten 
Kittens are fully litter trained, and can eat by them selves 
Ready to leave in 2 weeks 
Only One left 
One reserved for (Olly)
One reserved for ( Nowdla)",1 of 9,£500.00 ,"Romford, London"
1588698376-100,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/white-pure-turkish-angora-kitten-girl/1372190022,White pure Turkish Angora kitten GIRL,8 weeks,Now,"9 weeks old and healthy loving and playful girl and ready to leave and looking for its loving forever home now.
Up to date with flea and worming treatment.
Fully litter trained and eating wet and dry food.
07557953976",1 of 8,£450.00 ,"Tower Hamlets, London"
1588698178-8,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/-sorry-all-reserved-4-kittens-2-white-black-one-black-white-one-tabby/1371077868,"Sorry all reserved 4 kittens 2 white&black, one black&white,one tabby",3 weeks,in 6 weeks,"4 kittens born 15/04
3 boys and 1 girl 
1st mostly white with black - boy pics 6 & 7
2nd tabby - boy pics 8 & 9
3rd black with white - boy pics 4 & 5
4th white with black - girl pics 2 & 3
Looking for a £25 deposit to secure your kitten",1 of 9,£100.00 ,"Crawley, West Sussex"
1588698229-31,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/kittens-for-sale-/1372166961,Kittens for sale,8 weeks,Now,6 beautiful kittens for sale. All male. Have been wormed and flead. Using the litter tray confidently. All are black and white and have amazing temperaments as have been raised around children and other animals. Please text if interested.,1 of 2,£250.00 ,"Maidstone, Kent"
1588698339-82,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/lovely-playful-kittens/1372073494,Lovely playful kittens,8 weeks,Now,"Lovely playful kittens looking for their FOREVER home...

Been around small children so are playful and friendly.

Eating wet and dry food..

Litter trained.

Fleas and wormed..

Ready to leave on wednesday..

3 Black £130 each

1 tabby £150

Contact number 07479914156..

Social distancing measures will be practiced upon collection for everyone’s safety

Thanks you",1 of 6,£130.00 ,"Greenwich, London"
1588698215-25,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/3-ragdol-kittens/1372091823,3 Ragdol kittens,6 weeks,in 4 weeks,"We have 3 ragdoll very cute kittens they are now 6weeks old so will be ready to leave in 4 weeks.

The are all blue bi colour, 1 girl and 2 boys. They are all using the litter tray.",1 of 5,£395.00 ,"Tiptree, Essex"
1588698217-26,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/beautiful-black-white-kittens-for-sale-%C2%A3200-one-boy-left-/1372105436,Beautiful Black & White Kittens For Sale £200 ( One Boy Left ),8 weeks,Now,"Beautiful Black & White Kitten, 1 Boy Left. Born On The 12th March & Ready To Leave On Thursday 7th May For There Forever Homes. Kittens Have Been Around Children Since Birth So Are Very Friendly & Playful. They Have Been Wormed & Flea Treated. Kittens are eating wet & dry food, Kittens are litter trained. Welcome To Come & View, If Wanting a Kitten a £50 Deposit Will Be Required. For More Information Please Call Me On 07845565338, Viewing & Collection Gillingham, ME7 1UH",1 of 2,£200.00 ,"Gillingham, Kent"
1588698176-7,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/4-kittens-for-sale-ready-for-new-home-1st-may-/1370973645,4 Kittens for sale - Ready for new home 1st May,9 weeks,Now,"I have 4 beautiful kittens ready for a new loving home.

3 black and white boys and 1 black girl.

All have unique personalities happy to share if interested.

Selling for £100 each

All de-flead and de-wormed

Please no time wasters 0",1 of 5,£100.00 ,"Whyteleafe, Surrey"
1588698236-34,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/tabby-kittens-/1372182495,Tabby kittens,8 weeks,Now,Lovely tabby kittens for sale boys and girls available very chilled and playful mum is a tabby cross bangle cat dad is white with tabby patches please call or whatssapp,1 of 3,£250.00 ,"Merstham, Surrey"
1588698190-13,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/-gorgeous-ragdoll-kittens-/1371388887,*** Gorgeous Ragdoll kittens ***,3 weeks,in 5 weeks,"I have a stunning litter of Ragdoll kittens.
Mum is a bi-colour Raggie Dad is a seal mitted Raggie. Both parents are our much loved family pets.
We have 3 girls an 1 boy Their colours are still coming out.
These kittens are raised in our family home with 4 children, dogs and other cats.
They will be fully wormed with Panacur paste and flead with frontline spray. 
They will be fully litter trained, weaned on purina one dry kitten food an fresh boiled chicken . They will be able to leave for their new homes around the 5th June at 8 weeks old. They will come with 4 weeks insurance and a kitten pack with food an litter an toys. 
Due to Covid 19 I’m doing viewing’s via FaceTime and updates with pictures .
I’m taking a £150 holding deposit to hold the kitten of your choice 
To loving family homes only please.",1 of 8,£875.00 ,"Slough, Berkshire"
1588698205-20,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/siberian-kittens/1368630927,Siberian kittens,3 months,Now,"Siberian kittens for sale.

Both parents imported from Russia with excellent pedigree bloodlines with champions and world champions. GCCF registered show class cats.Both parents can be seen.

The kittens are very playful, friendly and cute.They are fully vaccinated, microchipped,wormed, and litter trained.Kittens will come with:sale contract, 4 weeks free insurance and goody bag.

Not for breeding.Indoor only.

Please text me as there is a big chance that I won’t be able to answer a phone call, I will return any texts as soon as possible. 07399622733 Crawley",1 of 2,"£1,100.00 ","Ifield, West Sussex"
1588698293-61,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/-an-odd-eyed-blue-green-white-male-kitten-reserved-/1371786202,__An odd-eyed blue/green white male kitten__/ RESERVED,8 weeks,in 1 week,"An odd-eyed pure white gorgeous kitten with one blue eye and one eye green/Turquoise is looking for a loving home . Our babe boy have been raised with children as the closest member of the family and we are very sad to let him go. We would like to find for him the best loving family ( with children) if possible as he love to cuddle,sleep in the bed and play play play. Kitten is dewormed with panacure and will be deflead just before leaving . Eating dry food ( Purina One for kitten), litter trained. Mum is Pure Russian white / dad ginger, both belongs to me.
A non refundable holding fee of £100 is required to hold kitten as this reduces time wasters and takes the kitten of the ad. Kitten will leave with own blanket, food bowls and few favourites toys. Ready in 1 week 

Please message me few details about you and your family and we will choose the candidate. 
Thank you",1 of 5,£700.00 ,"Belvedere, London"
1588698275-53,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/4-kitten-mum-russian-blue-dad-black-british-shorthair/1371560701,4 kitten mum Russian blue/ dad black British shorthair,8 weeks,in 7 weeks,"These kittens were born on 21/04/2020 and will be sold once they have turned 8 weeks old. I have got 3 girls and 1 boy ( pink bows in profile pic for girls, blue heart for the boy ). please feel free to message me for any questions x Updated new profile photo from 27/04, 6 days old",1 of 9,£300.00 ,"Balham, London"
1588698341-83,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/adorable-kittens-ready-now-/1372065400,Adorable kittens ready now,9 weeks,Now,"Adorable kittens ready now amazing temprament and love to play around all the time very friendly with children ! 

They are 9weeks and fully ready to go now ! They are currently eating solid and dry food(whiskas) 2-12months and also they are drinking water. 

They are de wormed and flea treated at 6weeks of age. Vaccination is required at 12weeks of age and flea treatment required once more. 

I require amazing homes for these kittens and please note i will not hold the kitten for no one unless a small
Deposit is placed. Also please only contact me if you are ready to purchase right away. The pictures are the most up to date. 

Im unsure of genders ! 

Thanks for looking",1 of 3,£250.00 ,"Fulham, London"
1588698265-48,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/3-beautiful-short-hair-kittens-all-sold-/1371326967,3 Beautiful short hair kittens ( ALL SOLD),2 weeks,in 6 weeks,"They will be ready on the 14th July, the mums fur is like a soft velvet and all babies are the same, not sure of the sex of them yet but there is 2 black and 1 grey

(Grey already reserved)",1 of 5,£200.00 ,"Blackheath, London"
1588698209-22,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/female-kitten-all-reserved-/1372010603,Female Kitten (all reserved),6 weeks,in 2 weeks,"3/3 NOW RESERVED 

I have 3 female kittens for sale, born Friday 20th March. 
They are mainly black and white with a slight hint of grey tortoise shell.
They are all litter trained and are eating whiska’s wet kitten food as well as a range of kitten biscuits.
They will be flea treated & also wormed before they leave. 
They are all super cuddly and love to play - just message for any extra photos. 

Breed is short haired tuxedo crossed with slight tortoise shell. 

*Social Distancing rules will apply*",1 of 5,£150.00 ,"Alton, Hampshire"
